# t = 1000
# x y z vof velocityx velocityy velocityz
1.830422504950000118e+01 1.830422504950000118e+01 -6.767036381819103719e-01 5.624806314991828149e-01 -5.110147418011178333e-01 2.057393649186320950e-01 1.377091234950606202e-01
5.491267514859524113e+01 1.830422504950000118e+01 2.470823192737944263e-01 5.195987199092628739e-01 -4.179704168842019452e-01 3.361919292645541152e-02 -1.270425045357043370e+00
9.152112524769049173e+01 1.830422504950000118e+01 3.401184272621106341e+00 4.402124854811433341e-01 1.637651741998635835e+00 -2.670191553056205577e-03 -7.471904572076502049e-01
1.281295753467857139e+02 1.830422504950000118e+01 2.194378757259293877e+00 4.557060968500868947e-01 9.393009055903837057e-01 -2.107340738819827100e-02 1.766913540023537399e+00
1.647380254458809645e+02 1.830422504950000118e+01 -1.244310314798562356e+00 4.421182310671931681e-01 -7.294269060246739711e-01 -2.985524897243530540e-01 1.182922296517471494e+00
2.013464755449762151e+02 1.830422504950000118e+01 -2.424349025142533698e+00 4.388887178912523890e-01 -1.034703282475539998e+00 -2.222036789009583790e-01 3.839016083286417858e-01
2.379549256440714373e+02 1.830422504950000118e+01 -2.305680362326233190e+00 4.483875344924560524e-01 -1.159607670575926175e+00 1.602363552095331101e-01 -6.078296443203430321e-01
2.745633757431667163e+02 1.830422504950000118e+01 3.437488522805287605e-02 4.518082308288774440e-01 1.410594080457529959e-02 1.387668662954972820e-01 -1.453655003336871809e+00
3.111718258422619670e+02 1.830422504950000118e+01 9.445230112447281501e-01 4.562792449574978315e-01 8.484579319856883073e-01 6.738556985937288468e-02 4.027959128626119045e-01
3.477802759413572176e+02 1.830422504950000118e+01 -2.555404865900345879e-01 4.557006685731154194e-01 -6.962530343067437899e-01 1.239310869235333706e-01 -4.601117094698643495e-01
3.843887260404524682e+02 1.830422504950000118e+01 1.577175097098089562e+00 5.649943807603464707e-01 9.211192047777965186e-01 5.884804063668965662e-02 -6.044651639241546137e-01
4.209971761395477188e+02 1.830422504950000118e+01 1.214896879305012778e+00 4.487597975580123189e-01 8.192322225493938737e-01 6.373216956680347045e-02 9.286927155210141782e-01
4.576056262386429125e+02 1.830422504950000118e+01 -9.260174432248355902e-01 5.268003544737258625e-01 -5.268290496181519122e-01 6.376178010395926014e-03 6.212260483073487327e-01
4.942140763377381631e+02 1.830422504950000118e+01 -1.203585459971795002e+00 4.428365254227233372e-01 -6.202833785411094869e-01 -1.383089181372339771e-01 -1.243596060635322464e-01
5.308225264368334138e+02 1.830422504950000118e+01 -5.844067103647797579e-01 5.571711496798021912e-01 -4.773019500082054112e-01 -3.088140986741536032e-01 -4.915825623042373027e-01
5.674309765359287212e+02 1.830422504950000118e+01 6.463475428751643825e-01 5.421193894538842706e-01 -4.599289260322958484e-02 -1.870617168768641259e-01 -6.615766720701269366e-01
6.040394266350239150e+02 1.830422504950000118e+01 1.472783373975382393e+00 5.247686247877203503e-01 8.592521769790932851e-01 -3.666895376334773637e-02 2.546752040111330273e-01
6.406478767341191087e+02 1.830422504950000118e+01 -1.164451652222837641e-01 4.526496059356903690e-01 2.614825516537766514e-02 3.974763045382068150e-02 7.361810797204535461e-01
6.772563268332144162e+02 1.830422504950000118e+01 -5.443316521453913648e-01 5.489117050084888483e-01 -7.885266643623518590e-01 8.472846737696386743e-01 -5.153579568461554017e-02
7.138647769323096099e+02 1.830422504950000118e+01 2.539958087315626889e-01 5.108609627103701811e-01 3.973531377667031683e-01 8.505058200373237509e-02 -7.663276548469846738e-02
7.504732270314049174e+02 1.830422504950000118e+01 -6.890912230506274216e-01 5.652419896355338480e-01 -3.122191403629508977e-01 -6.138828139524783040e-02 7.333113563672331026e-01
7.870816771305001112e+02 1.830422504950000118e+01 -1.612419791521795265e+00 5.226647578085752421e-01 -1.197184053330384135e+00 4.942533663765166091e-02 -3.585212158302267804e-01
8.236901272295954186e+02 1.830422504950000118e+01 -2.933264791371588132e-01 4.787727715004170825e-01 -3.405365626310694754e-02 3.342443280130111272e-02 -4.703080242279868428e-01
8.602985773286906124e+02 1.830422504950000118e+01 -4.821210844372962878e-01 5.371773318980079814e-01 -6.156110717986456038e-01 -6.149121932404524871e-02 -2.007914386197222900e-01
8.969070274277858061e+02 1.830422504950000118e+01 5.069425666203927205e-01 5.196581251111191957e-01 -7.319420890823101489e-02 -8.357833574307726998e-02 -7.900374594138256379e-01
9.335154775268811136e+02 1.830422504950000118e+01 1.415057862295348023e+00 5.185362387758970515e-01 6.073283980915800129e-01 2.165359162774074531e-01 -3.529310345745722000e-01
9.701239276259763074e+02 1.830422504950000118e+01 1.844775491017962787e+00 5.325208421384085566e-01 4.256190664234104637e-01 2.282760280511600404e-02 1.064549931685995626e-01
1.006732377725071615e+03 1.830422504950000118e+01 1.077313142553265823e+00 4.410801594384752278e-01 6.267273260203443108e-01 -2.642137259457197351e-01 6.113198848334344682e-01
1.043340827824166809e+03 1.830422504950000118e+01 -5.688274455084996184e-02 4.443742661985569109e-01 2.797379283636783898e-01 -1.830906131997384056e-01 7.606802271767377777e-01
1.079949277923262116e+03 1.830422504950000118e+01 -1.395678704873178910e+00 4.457322104395504692e-01 -4.891128486372769424e-01 1.541451554024410586e-01 8.233475622886758938e-01
1.116557728022357423e+03 1.830422504950000118e+01 -2.361088999938666610e+00 4.449950731712174479e-01 -1.004919484784627892e+00 2.773864928212986802e-01 1.629449804234598190e-02
1.153166178121452504e+03 1.830422504950000118e+01 -1.240811058926922561e+00 4.634545543881180008e-01 -5.125531071150417617e-01 1.965615442422145309e-01 -1.211006100959005627e+00
1.189774628220547811e+03 1.830422504950000118e+01 1.409284483942816024e+00 5.019872393914400766e-01 1.152306729911248384e+00 -2.065942870525976360e-01 -5.781970433329198800e-01
1.226383078319643118e+03 1.830422504950000118e+01 -1.942665168708691548e-01 4.498621119815949809e-01 8.438289918142802271e-02 -3.779597458814875632e-01 1.044516750097422619e+00
1.262991528418738199e+03 1.830422504950000118e+01 -1.500617130270119448e+00 4.876267124783489892e-01 -1.200184589724093920e+00 -2.701301287508064419e-01 -4.966016719229414678e-01
1.299599978517833506e+03 1.830422504950000118e+01 6.068853284399503556e-01 5.433315142455824587e-01 1.543057706576867749e-01 6.750138789935297701e-02 -1.005724217724599745e+00
1.336208428616928813e+03 1.830422504950000118e+01 2.027796640748203760e+00 4.740235742562907140e-01 7.572040455911640544e-01 5.672092517968490011e-01 -4.572625802740671874e-01
1.372816878716024121e+03 1.830422504950000118e+01 1.811048605362019837e+00 5.366403603120837307e-01 6.168974227823377232e-01 9.906150116989945187e-02 6.832088112901895105e-01
1.409425328815119201e+03 1.830422504950000118e+01 8.049927049838723203e-02 4.661780521701432978e-01 1.183553587511372157e-01 -7.419701926740263076e-02 8.758693009145905872e-01
1.446033778914214508e+03 1.830422504950000118e+01 -9.886277965896990150e-01 5.218755456085880651e-01 -4.036458191077010871e-01 -2.540864831659396805e-01 3.490539956536581889e-01
1.482642229013309816e+03 1.830422504950000118e+01 -7.882035380120444579e-01 5.588002367706974560e-01 -3.067009666786205124e-01 -4.448039151830672777e-01 -2.728560003516599108e-01
1.519250679112404896e+03 1.830422504950000118e+01 5.491894916941769678e-02 4.278014276142662053e-01 6.316284867670423075e-01 -5.656062835967228669e-02 2.023332961982454159e-01
1.555859129211500203e+03 1.830422504950000118e+01 -1.534496412162491330e+00 4.943402993558437819e-01 -8.140145194000468765e-01 -8.020912325644079244e-02 5.514695917204138764e-01
1.592467579310595511e+03 1.830422504950000118e+01 -1.026488356115391021e+00 4.989418060419854584e-01 -3.753577721986782190e-01 2.321275078920490009e-01 -8.905764858345143198e-01
1.629076029409690818e+03 1.830422504950000118e+01 3.008617908913981953e-01 5.450282635191220360e-01 3.076275159262191194e-01 1.575801394402608913e-01 -2.213831969671565258e-01
1.665684479508785898e+03 1.830422504950000118e+01 1.579113062332571094e-01 5.199450114869019757e-01 9.880467428828480780e-02 -1.527604564235323648e-01 -2.808092688189863795e-01
1.702292929607881206e+03 1.830422504950000118e+01 7.386914755661704302e-01 5.080365906975986556e-01 2.411758690215887735e-01 -1.967480999755777948e-01 2.513054724630632286e-01
1.738901379706976513e+03 1.830422504950000118e+01 -9.725407190566025539e-01 5.274965915697524821e-01 -5.563833672477517256e-01 -2.173683521504053417e-01 3.096917238270552875e-01
1.775509829806071593e+03 1.830422504950000118e+01 -2.828117155383774173e-01 4.673296536423044989e-01 -4.317325214278331380e-01 1.754381050638936096e-02 -1.150331303428209662e+00
1.812118279905166901e+03 1.830422504950000118e+01 1.811293252485301597e+00 5.434724776135657631e-01 5.562148046679434854e-01 3.296320441840914217e-01 -7.847056410143994354e-01
1.848726730004262208e+03 1.830422504950000118e+01 2.922151093413085210e+00 5.410501795716058382e-01 1.161022591720314523e+00 1.704959253713043965e-01 2.603683523496829744e-01
1.885335180103357516e+03 1.830422504950000118e+01 5.100972578364032506e-01 5.613599743791301000e-01 2.438943691484473375e-01 7.410827199123631859e-02 1.643629004874370247e+00
1.921943630202452596e+03 1.830422504950000118e+01 -1.398357791442477849e+00 4.540855417650303538e-01 -7.555738414599459940e-01 -1.914596263650909513e-01 5.014754866603929884e-01
1.958552080301547903e+03 1.830422504950000118e+01 -1.304502570066124356e+00 4.277872381009788505e-01 -2.506407387763931460e-01 -2.224033982915755159e-01 3.762487049987923715e-01
1.995160530400643211e+03 1.830422504950000118e+01 -2.019206092661146812e+00 5.482018871347991151e-01 -8.029389362154230048e-01 1.047801233564988888e-01 6.528766309651252639e-03
2.031768980499738518e+03 1.830422504950000118e+01 -1.339820789217726738e+00 4.398790014866933440e-01 -5.637075979837948836e-01 1.182723169657577122e-01 -5.793735853588415363e-01
2.068377430598833598e+03 1.830422504950000118e+01 -3.211148037607827743e-01 4.838129871722448572e-01 -2.953092230679619234e-01 3.549777068554237774e-02 -9.038669212220841187e-01
2.104985880697928678e+03 1.830422504950000118e+01 1.194188408695737058e+00 4.632368266245677768e-01 7.090179203700992527e-01 -1.383018346645715491e-01 -6.722064821611618557e-01
2.141594330797024213e+03 1.830422504950000118e+01 1.592814330216207441e+00 5.552946587795424271e-01 6.577953221053673971e-01 -1.174177131833600424e-01 1.926047387495171681e-01
2.178202780896119293e+03 1.830422504950000118e+01 7.375270199017438522e-01 5.115183905597859848e-01 2.358521693266555364e-01 1.287184565119890989e-01 5.393422407322541190e-01
2.214811230995214828e+03 1.830422504950000118e+01 -5.545827281944231135e-01 5.646762627309378502e-01 -3.518537653738527671e-01 2.066784954737230229e-02 6.431060250274243106e-01
2.251419681094309908e+03 1.830422504950000118e+01 -1.125821308729567871e+00 4.642299984621922615e-01 -6.314641944213221780e-01 -2.067100633817364475e-01 -1.646311309712806259e-01
2.288028131193404988e+03 1.830422504950000118e+01 2.101415946627752662e-01 4.923553376560790840e-01 9.884057912958024716e-02 -1.588371920712325913e-01 -7.788539443920744487e-01
2.324636581292500523e+03 1.830422504950000118e+01 1.108865416987378616e+00 4.499643894846988568e-01 7.689584049599667015e-01 -3.750186249082756995e-03 -2.285064722199536824e-02
2.361245031391595603e+03 1.830422504950000118e+01 4.955757595474411525e-01 5.734712262405537997e-01 2.269742970135361360e-01 1.273900659985985513e-02 7.270309934973755439e-01
2.397853481490690683e+03 1.830422504950000118e+01 -9.827961466699938198e-01 5.386178088103578121e-01 -6.486628688403758281e-01 1.899376616729968881e-01 2.652474151862353469e-01
2.434461931589786218e+03 1.830422504950000118e+01 -1.157892161941981857e-01 4.237739585049942193e-01 -1.100515955158498649e-02 1.098865252544949378e-01 -5.256945051788494139e-01
2.471070381688881298e+03 1.830422504950000118e+01 3.545847589839493663e-01 5.661447793234878345e-01 3.593228469245411949e-01 1.339807540477646053e-01 1.500396236410289352e-01
