# t = 0
# x y z vof velocityx velocityy velocityz
1.830422504950000118e+01 1.830422504950000118e+01 -5.502677821350732135e-01 5.615092390457205873e-01 -6.420124251122355519e-02 1.421959933936001730e-01 -5.181316696324878013e-01
5.491267514859524113e+01 1.830422504950000118e+01 4.978870865588136407e-02 5.624945362310604935e-01 6.989034346620152938e-02 3.687801925436538786e-02 -1.839339010322094403e-01
9.152112524769049173e+01 1.830422504950000118e+01 3.550596203932440131e-01 4.378856221207558796e-01 1.898111447537314256e-01 -1.541753874952586645e-01 -2.121601065111340112e-01
1.281295753467857139e+02 1.830422504950000118e+01 3.688098778213546591e-01 4.414135631578333108e-01 2.350114439120799537e-01 -2.594755116839956854e-01 1.979726208109448271e-01
1.647380254458809645e+02 1.830422504950000118e+01 -4.454908705735818319e-01 5.373710935495441543e-01 -2.363725377817331441e-01 7.096517371414653996e-02 9.095752671404022660e-02
2.013464755449762151e+02 1.830422504950000118e+01 -1.092526686701563721e-01 4.872453619748765563e-01 -2.886733119984390972e-01 2.363201296769685822e-01 -6.721394518950354335e-01
2.379549256440714373e+02 1.830422504950000118e+01 1.440007852652742892e+00 4.566393940989610378e-01 6.322867373104390509e-01 -1.223931396687775869e-01 -4.727121592856575183e-01
2.745633757431667163e+02 1.830422504950000118e+01 1.418343938426610551e+00 4.653728941860805213e-01 5.533675403842926999e-01 -4.682848252961601537e-02 3.364071100478005505e-01
3.111718258422619670e+02 1.830422504950000118e+01 9.308887820140507863e-01 4.380351303414604658e-01 4.675353370214260784e-01 3.860897500046284181e-02 4.541359694882410869e-01
3.477802759413572176e+02 1.830422504950000118e+01 -2.908169436321795254e-01 4.505103959168352823e-01 -7.516635522768196076e-02 6.096790928859845138e-02 1.101271839603685132e+00
3.843887260404524682e+02 1.830422504950000118e+01 -2.185830999675060671e+00 5.275602653904960526e-01 -7.740667869490966968e-01 -5.334511504968248580e-02 2.865234539101884081e-01
4.209971761395477188e+02 1.830422504950000118e+01 -1.536490275655313376e+00 4.835274195975547973e-01 -6.999981297975849115e-01 -2.559444709912117588e-01 -6.870715396217946802e-01
4.576056262386429125e+02 1.830422504950000118e+01 -1.582167920675237316e-01 4.591211299936666101e-01 1.127568283081728379e-01 1.432202069508221702e-02 -4.439413286860700025e-01
4.942140763377381631e+02 1.830422504950000118e+01 -3.387789543742447673e-02 5.411182571241940353e-01 2.065818110592705301e-02 2.918659463272118559e-01 -7.658471780894421377e-02
5.308225264368334138e+02 1.830422504950000118e+01 1.569775956852507148e-01 5.276643804913475622e-01 3.431776494801938235e-03 2.277012471487124823e-01 -3.401000626575610419e-01
5.674309765359287212e+02 1.830422504950000118e+01 9.638623830498771472e-01 4.409704824064307749e-01 4.607545692306052598e-01 1.163186617492682623e-01 -2.501587323163899090e-01
6.040394266350239150e+02 1.830422504950000118e+01 6.019511053002372103e-01 5.593109371318899514e-01 9.537200561486475214e-02 -1.403975900856058723e-01 1.727415265529751442e-01
6.406478767341191087e+02 1.830422504950000118e+01 4.320101138335816771e-01 4.634944530991189637e-01 -1.402385955071047165e-02 -3.300532867527563585e-01 -1.787466502174509808e-01
6.772563268332144162e+02 1.830422504950000118e+01 1.259969000081591073e+00 5.566940553646877454e-01 4.343269847033182640e-01 -7.911877197553476848e-02 -4.993819114471727272e-02
7.138647769323096099e+02 1.830422504950000118e+01 7.130265353199634060e-01 5.438313431420938038e-01 3.802997786329040952e-01 -1.270085719019886095e-01 7.308638068764186091e-01
7.504732270314049174e+02 1.830422504950000118e+01 -1.494080056732617567e+00 4.621837466045376486e-01 -8.069433012700268915e-01 -5.307111114891302842e-03 9.582927048978544526e-01
7.870816771305001112e+02 1.830422504950000118e+01 -2.171185410055062270e+00 5.152585891755898651e-01 -8.676004550935562110e-01 2.647510693684353988e-01 -2.704712930670437609e-01
8.236901272295954186e+02 1.830422504950000118e+01 -4.728667587319617116e-01 5.475730153086282304e-01 -1.759175222514035575e-01 2.475884522218737838e-01 -9.134706749799728076e-01
8.602985773286906124e+02 1.830422504950000118e+01 1.708879586609294066e+00 5.347662693889464469e-01 9.546216550469223128e-01 -6.650134433707016735e-02 -5.629162020248755782e-01
8.969070274277858061e+02 1.830422504950000118e+01 1.002209107576735425e+00 4.563577923855659524e-01 5.804215286972596033e-01 -1.940517731562170500e-01 1.330384111463516428e+00
9.335154775268811136e+02 1.830422504950000118e+01 -2.309445088311887773e+00 5.592563759733333306e-01 -1.281169671518190611e+00 -3.630449333158090527e-03 5.540633618916260827e-01
9.701239276259763074e+02 1.830422504950000118e+01 -1.116302120611830206e+00 5.406443967842757825e-01 -6.690279413336336356e-01 1.230260232516689964e-02 -1.163278132860630532e+00
1.006732377725071615e+03 1.830422504950000118e+01 1.337045269087529409e+00 5.219083212657320558e-01 4.418860973477740095e-01 2.230333708602907396e-03 -3.011279216331085307e-01
1.043340827824166809e+03 1.830422504950000118e+01 9.771334593380884836e-01 4.461399374666554785e-01 3.194181321294038423e-01 -1.653392542341256821e-01 1.764768808826683577e-01
1.079949277923262116e+03 1.830422504950000118e+01 7.065077396743385529e-01 5.478431328936863576e-01 1.296241505477194744e-01 -6.491766867735060398e-02 5.528502183965052635e-02
1.116557728022357423e+03 1.830422504950000118e+01 6.216735543659871466e-01 5.611449321934154355e-01 2.004884924021072823e-01 1.135509125295232902e-01 1.639462405468807837e-01
1.153166178121452504e+03 1.830422504950000118e+01 7.961907677541252282e-02 5.594861303472490333e-01 2.665295309837037094e-02 9.518401993387813620e-02 3.445925515013436025e-01
1.189774628220547811e+03 1.830422504950000118e+01 -6.858864614025227402e-01 4.980180165165929429e-01 -4.078707199095019664e-01 1.132408290880751456e-02 1.801907299310045174e-01
1.226383078319643118e+03 1.830422504950000118e+01 -4.316693885964736355e-01 5.306348783216319198e-01 -9.151570830388108813e-02 -2.641633946348202755e-02 -1.161858605076646588e-02
1.262991528418738199e+03 1.830422504950000118e+01 -6.698682971118237184e-01 5.103552944196239061e-01 -3.211825466610978563e-01 1.825837095774249241e-01 6.184598491728048736e-02
1.299599978517833506e+03 1.830422504950000118e+01 -3.203335963713118129e-01 4.563981207273751783e-01 -1.448450389224894830e-01 2.215122577495223788e-01 -3.752585357233568786e-01
1.336208428616928813e+03 1.830422504950000118e+01 1.580987999135960997e-01 5.267003480734727683e-01 1.100033266532046694e-01 -1.580558199289763821e-02 -6.743641989816943905e-02
1.372816878716024121e+03 1.830422504950000118e+01 9.936679756164251698e-02 5.551781800352131313e-01 -2.055994165037890176e-02 -2.013374190728048907e-01 -1.137103293687831279e-01
1.409425328815119201e+03 1.830422504950000118e+01 4.613289009196185342e-01 4.818155535489856423e-01 2.104629981489572754e-01 -3.375814611219378758e-01 -4.805588915929220883e-02
1.446033778914214508e+03 1.830422504950000118e+01 2.521950061567312384e-01 4.592485177897094317e-01 4.589133336006136210e-02 -4.981169682344245564e-02 1.025013478853028237e-01
1.482642229013309816e+03 1.830422504950000118e+01 3.029860470447323095e-01 4.431316215749975251e-01 1.942665894775714441e-01 6.777200737398863042e-03 1.165851886921340508e-01
1.519250679112404896e+03 1.830422504950000118e+01 -3.049474252221546777e-01 4.479292603944765583e-01 -1.106858453433040707e-01 1.497721461371458451e-01 5.085792426339879047e-01
1.555859129211500203e+03 1.830422504950000118e+01 -1.146663225897081251e+00 5.603512169148761046e-01 -5.042538522018289449e-01 1.924526652568583351e-01 7.760412040355176184e-03
1.592467579310595511e+03 1.830422504950000118e+01 -4.016521022924839368e-01 5.076242556352832391e-01 -1.875498852670290928e-01 8.276368984851741051e-02 -5.283542751488568001e-01
1.629076029409690818e+03 1.830422504950000118e+01 1.031465641668579236e+00 4.691568762978445273e-01 5.288482061922100685e-01 -2.533137730576030464e-02 -5.737758651909469210e-01
1.665684479508785898e+03 1.830422504950000118e+01 1.411335283968408572e+00 4.681730010309173018e-01 7.622363089457905305e-01 -9.352792249530088309e-02 2.914480605943655656e-01
