# t = 1000
# x y z vof velocityx velocityy velocityz
1.830422504950000118e+01 1.830422504950000118e+01 -6.759915300661764048e-01 4.539025665411486887e-01 -5.243778674063487300e-01 1.650820883887710588e-01 5.998307120033705142e-02
5.491267514859524113e+01 1.830422504950000118e+01 2.512043472118266063e-01 5.609248049453705587e-01 -3.733753674502864328e-01 4.681938490587553292e-02 -1.196556432717954976e+00
9.152112524769049173e+01 1.830422504950000118e+01 3.412061460680095859e+00 4.550920254737852444e-01 1.629598946362100120e+00 -1.404455071899952338e-03 -7.349225570696769072e-01
1.281295753467857139e+02 1.830422504950000118e+01 2.209184166609798439e+00 5.407493178733041583e-01 8.454957921591390591e-01 -3.849593406277378171e-02 1.763635694612532445e+00
1.647380254458809645e+02 1.830422504950000118e+01 -1.277596942641863187e+00 4.557641845453298535e-01 -6.915609687745389866e-01 -2.808679601650967972e-01 1.178182692493661365e+00
2.013464755449762151e+02 1.830422504950000118e+01 -2.428747486713092485e+00 5.488804727523332039e-01 -1.135439311110242766e+00 -1.335041205471659276e-01 3.924075254680675640e-01
2.379549256440714373e+02 1.830422504950000118e+01 -2.304989058328571261e+00 5.550498860829965464e-01 -1.260381130332778543e+00 1.629111029263277943e-01 -6.361254923013329732e-01
2.745633757431667163e+02 1.830422504950000118e+01 1.005115604133370866e-01 5.562596891814639566e-01 2.456541541536023943e-02 1.549663019824299992e-01 -1.264921063736003326e+00
3.111718258422619670e+02 1.830422504950000118e+01 9.775143118736020487e-01 4.629081171915832016e-01 1.269356056899888952e+00 3.946789855987399565e-02 3.817022560475159532e-01
3.477802759413572176e+02 1.830422504950000118e+01 -3.283971317300231618e-01 5.180034997101070626e-01 -6.074772500480216664e-01 1.143373117342040141e-01 -5.098231188957977889e-01
3.843887260404524682e+02 1.830422504950000118e+01 1.647915510985608956e+00 4.483800512361900692e-01 9.074840252479106084e-01 4.182889691254866593e-02 -6.688861614676515632e-01
4.209971761395477188e+02 1.830422504950000118e+01 1.193269770526265816e+00 4.404838818797460753e-01 9.437183754125799684e-01 8.578147950682588063e-02 9.874986003175485472e-01
4.576056262386429125e+02 1.830422504950000118e+01 -9.221635433437002094e-01 4.400891141026114228e-01 -4.527716444462166479e-01 8.659396750548840893e-02 6.700147605985520283e-01
4.942140763377381631e+02 1.830422504950000118e+01 -1.230289970706178071e+00 4.517252683108606837e-01 -8.146486000282104900e-01 -9.835452376468367675e-02 -1.744958982699747474e-01
5.308225264368334138e+02 1.830422504950000118e+01 -5.464293384074199178e-01 4.678864769998886119e-01 -2.142563936936278945e-01 -2.612944284490634206e-01 -5.183888261934788133e-01
5.674309765359287212e+02 1.830422504950000118e+01 6.130919990565009137e-01 5.287342568674860965e-01 -5.564529584775218529e-01 -3.832381471947114426e-01 -5.551711622913542143e-01
6.040394266350239150e+02 1.830422504950000118e+01 1.501102867880545144e+00 4.204814650322608038e-01 1.091058815318118658e+00 3.179217397464376843e-02 2.169872820119555512e-01
6.406478767341191087e+02 1.830422504950000118e+01 -1.034425590847065646e-01 5.383694626483049861e-01 -2.896824903899610781e-01 2.947196318048676128e-02 6.874879738117077865e-01
6.772563268332144162e+02 1.830422504950000118e+01 -6.206824736736625825e-01 4.628710734726251275e-01 -1.929837500485010737e-01 3.645652199739941035e-01 -6.408315185850765872e-02
7.138647769323096099e+02 1.830422504950000118e+01 1.316756740547539994e-01 5.626220639446873895e-01 2.576400957601014396e-01 1.077286326852395226e-01 -3.723376641146940169e-02
