ZONE T = " 0.00000E+00", I=  129, J=  256
 3.15105816E-02 -8.51456140E-02  9.04017262E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 3.21810195E-02 -8.51456140E-02  8.20433799E-18  8.99273628E-17 -1.56535598E+01 -1.56535598E+01
 3.28514574E-02 -8.51456140E-02  4.04288810E-18  1.35317822E-16 -1.56535598E+01 -1.56535598E+01
 3.35218953E-02 -8.51456140E-02  1.29435574E-17  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 3.41923332E-02 -8.51456140E-02  5.37206125E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 3.48627711E-02 -8.51456140E-02  4.04288810E-18  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 3.55332090E-02 -8.51456140E-02  4.04288810E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 3.62036469E-02 -8.51456140E-02  5.71750719E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 3.68740848E-02 -8.51456140E-02  9.04017262E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 3.75445227E-02 -8.51456140E-02  7.89399137E-18  1.15986704E-16 -1.56535598E+01 -1.56535598E+01
 3.82149606E-02 -8.51456140E-02  8.08577620E-18  1.59408478E-16 -1.56535598E+01 -1.56535598E+01
 3.88853985E-02 -8.51456140E-02  0.00000000E+00  1.59408478E-16 -1.56535598E+01 -1.56535598E+01
 3.95558364E-02 -8.51456140E-02  4.04288810E-18  1.97139489E-16 -1.56535598E+01 -1.56535598E+01
 4.02262743E-02 -8.51456140E-02  2.02144405E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 4.08967122E-02 -8.51456140E-02  4.52008631E-18  5.46766567E-17 -1.56535598E+01 -1.56535598E+01
 4.15671501E-02 -8.51456140E-02  4.52008631E-18  7.97042388E-17 -1.56535598E+01 -1.56535598E+01
 4.22375880E-02 -8.51456140E-02  5.05361013E-18  1.22260721E-16 -1.56535598E+01 -1.56535598E+01
 4.29080259E-02 -8.51456140E-02  7.07505418E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 4.35784639E-02 -8.51456140E-02  9.53513252E-18  1.39398670E-16 -1.56535598E+01 -1.56535598E+01
 4.42489018E-02 -8.51456140E-02  6.03398721E-18  8.34616935E-17 -1.56535598E+01 -1.56535598E+01
 4.49193397E-02 -8.51456140E-02  4.16731367E-18  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 4.55897776E-02 -8.51456140E-02  2.52680506E-19  1.54648939E-16 -1.56535598E+01 -1.56535598E+01
 4.62602155E-02 -8.51456140E-02  6.39236736E-18  7.97042388E-17 -1.56535598E+01 -1.56535598E+01
 4.69306534E-02 -8.51456140E-02  6.67095679E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
