ZONE T = " 0.00000E+00", I=  129, J=  256
 3.01697057E-02 -7.10664180E-02  2.85875359E-18  1.55852451E-16 -1.56535598E+01 -1.56535598E+01
 3.08401437E-02 -7.10664180E-02  9.04017262E-18  7.97042388E-17 -1.56535598E+01 -1.56535598E+01
 3.15105816E-02 -7.10664180E-02  8.22668126E-18  4.83277934E-17 -1.56535598E+01 -1.56535598E+01
 3.21810195E-02 -7.10664180E-02  4.41287533E-18  3.14130657E-17 -1.56535598E+01 -1.56535598E+01
 3.28514574E-02 -7.10664180E-02  5.71750719E-18  1.82369397E-16 -1.56535598E+01 -1.56535598E+01
 3.35218953E-02 -7.10664180E-02  1.01072203E-18  6.96993349E-17 -1.56535598E+01 -1.56535598E+01
 3.41923332E-02 -7.10664180E-02  0.00000000E+00  7.97042388E-17 -1.56535598E+01 -1.56535598E+01
 3.48627711E-02 -7.10664180E-02  5.30629063E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 3.55332090E-02 -7.10664180E-02  7.58041519E-18  1.31909205E-16 -1.56535598E+01 -1.56535598E+01
 3.62036469E-02 -7.10664180E-02  1.27847347E-17  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 3.68740848E-02 -7.10664180E-02  4.07435074E-18  1.15986704E-16 -1.56535598E+01 -1.56535598E+01
 3.75445227E-02 -7.10664180E-02  4.04288810E-18  1.47221404E-16 -1.56535598E+01 -1.56535598E+01
 3.82149606E-02 -7.10664180E-02  6.06433215E-18  8.25825696E-17 -1.56535598E+01 -1.56535598E+01
 3.88853985E-02 -7.10664180E-02  3.64421009E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 3.95558364E-02 -7.10664180E-02  1.21707049E-17  1.17983180E-16 -1.56535598E+01 -1.56535598E+01
 4.02262743E-02 -7.10664180E-02  4.16731367E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 4.08967122E-02 -7.10664180E-02  4.74743570E-18  7.24916901E-17 -1.56535598E+01 -1.56535598E+01
 4.15671501E-02 -7.10664180E-02  2.02144405E-18  4.75973565E-17 -1.56535598E+01 -1.56535598E+01
 4.22375880E-02 -7.10664180E-02  9.31839665E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 4.29080259E-02 -7.10664180E-02  6.27645357E-18  8.20149851E-17 -1.56535598E+01 -1.56535598E+01
 4.35784639E-02 -7.10664180E-02  8.14870148E-18  2.09098005E-16 -1.56535598E+01 -1.56535598E+01
 4.42489018E-02 -7.10664180E-02  4.28813039E-18  1.39398670E-16 -1.56535598E+01 -1.56535598E+01
 4.49193397E-02 -7.10664180E-02  5.55897114E-18  1.31465811E-16 -1.56535598E+01 -1.56535598E+01
 4.55897776E-02 -7.10664180E-02  5.05361013E-18  3.98521194E-17 -1.56535598E+01 -1.56535598E+01
 4.62602155E-02 -7.10664180E-02  1.51608304E-18  1.05991126E-16 -1.56535598E+01 -1.56535598E+01
 4.69306534E-02 -7.10664180E-02  9.04017262E-18  8.20149851E-17 -1.56535598E+01 -1.56535598E+01
 4.76010913E-02 -7.10664180E-02  4.52008631E-18  1.22260721E-16 -1.56535598E+01 -1.56535598E+01
 4.82715292E-02 -7.10664180E-02  8.08577620E-18  5.81943695E-17 -1.56535598E+01 -1.56535598E+01
 4.89419671E-02 -7.10664180E-02  4.07435074E-18  4.75973565E-17 -1.56535598E+01 -1.56535598E+01
 4.96124050E-02 -7.10664180E-02  1.13002158E-18  1.17586596E-16 -1.56535598E+01 -1.56535598E+01
 5.02828429E-02 -7.10664180E-02  2.52680506E-18  7.24916901E-17 -1.56535598E+01 -1.56535598E+01
 5.09532808E-02 -7.10664180E-02  2.02144405E-18  4.32256925E-17 -1.56535598E+01 -1.56535598E+01
 5.16237187E-02 -7.10664180E-02  4.52008631E-18  1.17983180E-16 -1.56535598E+01 -1.56535598E+01
 5.22941566E-02 -7.10664180E-02  2.72145234E-18  7.79262254E-17 -1.56535598E+01 -1.56535598E+01
 5.29645945E-02 -7.10664180E-02  5.44290468E-18  6.11303606E-17 -1.56535598E+01 -1.56535598E+01
 5.36350324E-02 -7.10664180E-02  9.31839665E-18  6.48385388E-17 -1.56535598E+01 -1.56535598E+01
 5.43054703E-02 -7.10664180E-02  2.27412456E-18  1.16388739E-16 -1.56535598E+01 -1.56535598E+01
 5.49759082E-02 -7.10664180E-02  4.07435074E-18  6.96993349E-17 -1.56535598E+01 -1.56535598E+01
 5.56463462E-02 -7.10664180E-02  3.19618368E-18  8.91120480E-17 -1.56535598E+01 -1.56535598E+01
 5.63167841E-02 -7.10664180E-02  4.37837794E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 5.69872220E-02 -7.10664180E-02  1.42937680E-18  7.86719479E-17 -1.56535598E+01 -1.56535598E+01
 5.76576599E-02 -7.10664180E-02  5.67828815E-18  1.08737535E-16 -1.56535598E+01 -1.56535598E+01
 5.83280978E-02 -7.10664180E-02  5.44290468E-18  1.16614275E-16 -1.56535598E+01 -1.56535598E+01
 5.89985357E-02 -7.10664180E-02  7.23566855E-18  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 5.96689736E-02 -7.10664180E-02  3.74998644E-18  5.64111849E-17 -1.56535598E+01 -1.56535598E+01
 6.03394115E-02 -7.10664180E-02  3.19618368E-18  9.66555868E-18 -1.56535598E+01 -1.56535598E+01
 6.10098494E-02 -7.10664180E-02  7.28842018E-18  6.83458209E-17 -1.56535598E+01 -1.56535598E+01
 6.16802873E-02 -7.10664180E-02  5.71750719E-18  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 6.23507252E-02 -7.10664180E-02  1.42937680E-18  1.22356200E-16 -1.56535598E+01 -1.56535598E+01
 6.30211631E-02 -7.10664180E-02  2.02144405E-18  1.25652263E-16 -1.56535598E+01 -1.56535598E+01
 6.36916010E-02 -7.10664180E-02  9.31839665E-18  2.73383284E-17 -1.56535598E+01 -1.56535598E+01
 6.43620389E-02 -7.10664180E-02  2.52680506E-18  3.98521194E-17 -1.56535598E+01 -1.56535598E+01
 6.50324768E-02 -7.10664180E-02  5.15369133E-18  9.51947131E-17 -1.56535598E+01 -1.56535598E+01
 6.57029147E-02 -7.10664180E-02  4.97883198E-18  1.21759727E-16 -1.56535598E+01 -1.56535598E+01
 6.63733526E-02 -7.10664180E-02  2.26004316E-18  1.99260597E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-02 -7.10664180E-02  3.64421009E-18  7.36107019E-17 -1.56535598E+01 -1.56535598E+01
 6.77142285E-02 -7.10664180E-02  2.60457104E-18  2.93966491E-17 -1.56535598E+01 -1.56535598E+01
 6.83846664E-02 -7.10664180E-02  1.61794467E-18  9.67763309E-17 -1.56535598E+01 -1.56535598E+01
 6.90551043E-02 -7.10664180E-02  3.64421009E-18  1.99260597E-17 -1.56535598E+01 -1.56535598E+01
 6.97255422E-02 -7.10664180E-02  6.78012947E-18  2.73383284E-17 -1.56535598E+01 -1.56535598E+01
 7.03959801E-02 -7.10664180E-02  5.00281879E-18  1.12718815E-16 -1.56535598E+01 -1.56535598E+01
 7.10664180E-02 -7.10664180E-02  2.08365683E-18  1.36691642E-17 -1.56535598E+01 -1.56535598E+01
 7.17368559E-02 -7.10664180E-02  4.52008631E-18  2.26999201E-17 -1.56535598E+01 -1.56535598E+01
 7.24072938E-02 -7.10664180E-02  1.42937680E-18  7.03663294E-17 -1.56535598E+01 -1.56535598E+01
 7.30777317E-02 -7.10664180E-02  7.23566855E-18  5.65662319E-17 -1.56535598E+01 -1.56535598E+01
 7.37481696E-02 -7.10664180E-02  4.67458937E-18  5.63594077E-17 -1.56535598E+01 -1.56535598E+01
 7.44186075E-02 -7.10664180E-02  5.05361013E-19  7.18444299E-17 -1.56535598E+01 -1.56535598E+01
 7.50890454E-02 -7.10664180E-02  2.03717537E-18  1.99260597E-17 -1.56535598E+01 -1.56535598E+01
 7.57594833E-02 -7.10664180E-02  1.01072203E-18  5.43016042E-17 -1.56535598E+01 -1.56535598E+01
 7.64299212E-02 -7.10664180E-02  1.59809184E-18  2.73383284E-17 -1.56535598E+01 -1.56535598E+01
 7.71003591E-02 -7.10664180E-02  1.13002158E-18  2.16128463E-17 -1.56535598E+01 -1.56535598E+01
 7.77707970E-02 -7.10664180E-02  6.16871731E-18  8.91120480E-17 -1.56535598E+01 -1.56535598E+01
 7.84412349E-02 -7.10664180E-02  6.25097050E-18  4.45560240E-17 -1.56535598E+01 -1.56535598E+01
 7.91116728E-02 -7.10664180E-02  3.19618368E-18  4.85688313E-17 -1.56535598E+01 -1.56535598E+01
 7.97821107E-02 -7.10664180E-02  2.05667032E-18  6.83458209E-17 -1.56535598E+01 -1.56535598E+01
 8.04525487E-02 -7.10664180E-02  3.19618368E-18  6.05545516E-17 -1.56535598E+01 -1.56535598E+01
 8.11229866E-02 -7.10664180E-02  5.82947674E-18  4.05060720E-17 -1.56535598E+01 -1.56535598E+01
 8.17934245E-02 -7.10664180E-02  5.20914209E-18  7.58376882E-17 -1.56535598E+01 -1.56535598E+01
 8.24638624E-02 -7.10664180E-02  8.22668126E-18  5.81943695E-17 -1.56535598E+01 -1.56535598E+01
 8.31343003E-02 -7.10664180E-02  1.13002158E-18  2.41638967E-17 -1.56535598E+01 -1.56535598E+01
 8.38047382E-02 -7.10664180E-02  2.15890319E-18  9.96302985E-18 -1.56535598E+01 -1.56535598E+01
 8.44751761E-02 -7.10664180E-02  8.07885802E-06  7.61578737E-05 -5.09265002E+00 -4.11828519E+00
 8.51456140E-02 -7.10664180E-02  6.02759848E-05  5.66892453E-04 -4.21985569E+00 -3.24649932E+00
 8.58160519E-02 -7.10664180E-02  6.83684853E-19  1.19196738E-17 -1.56535598E+01 -1.56535598E+01
 0.00000000E+00 -7.03959801E-02  1.24269639E-18  2.42596052E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-04 -7.03959801E-02  2.99442195E-18  6.45714200E-17 -1.56535598E+01 -1.56535598E+01
 1.34087581E-03 -7.03959801E-02  5.25173775E-18  7.30644288E-17 -1.56535598E+01 -1.56535598E+01
 2.01131372E-03 -7.03959801E-02  3.10857442E-18  3.23101308E-17 -1.56535598E+01 -1.56535598E+01
 2.68175162E-03 -7.03959801E-02  5.11117845E-18  9.58146370E-17 -1.56535598E+01 -1.56535598E+01
 3.35218953E-03 -7.03959801E-02  2.33405809E-18  7.40897770E-17 -1.56535598E+01 -1.56535598E+01
 4.02262743E-03 -7.03959801E-02  8.80096563E-19  7.54144712E-17 -1.56535598E+01 -1.56535598E+01
 4.69306534E-03 -7.03959801E-02  4.04361484E-18  8.64197592E-17 -1.56535598E+01 -1.56535598E+01
 5.36350324E-03 -7.03959801E-02  4.02148905E-18  8.85124080E-18 -1.56535598E+01 -1.56535598E+01
 6.03394115E-03 -7.03959801E-02  1.76329977E-18  8.43385700E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-03 -7.03959801E-02  1.77067525E-18  4.43663042E-17 -1.56535598E+01 -1.56535598E+01
 7.37481696E-03 -7.03959801E-02  3.76271780E-18  4.03156979E-17 -1.56535598E+01 -1.56535598E+01
 8.04525487E-03 -7.03959801E-02  2.53084866E-18  1.75967678E-17 -1.56535598E+01 -1.56535598E+01
 8.71569277E-03 -7.03959801E-02  7.83164685E-19  7.60539216E-17 -1.56535598E+01 -1.56535598E+01
 9.38613068E-03 -7.03959801E-02  2.84090043E-18  3.56468667E-17 -1.56535598E+01 -1.56535598E+01
 1.00565686E-02 -7.03959801E-02  1.98785258E-18  9.66121576E-17 -1.56535598E+01 -1.56535598E+01
 1.07270065E-02 -7.03959801E-02  3.51560342E-18  2.37372622E-17 -1.56535598E+01 -1.56535598E+01
 1.13974444E-02 -7.03959801E-02  3.15408132E-18  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 1.20678823E-02 -7.03959801E-02  2.35753460E-18  9.75275946E-17 -1.56535598E+01 -1.56535598E+01
 1.27383202E-02 -7.03959801E-02  3.31025929E-18  4.78420746E-17 -1.56535598E+01 -1.56535598E+01
 1.34087581E-02 -7.03959801E-02  7.90258031E-19  4.20271229E-17 -1.56535598E+01 -1.56535598E+01
 1.40791960E-02 -7.03959801E-02  3.85700053E-18  9.51947131E-17 -1.56535598E+01 -1.56535598E+01
 1.47496339E-02 -7.03959801E-02  4.52361625E-18  2.60253132E-17 -1.56535598E+01 -1.56535598E+01
 1.54200718E-02 -7.03959801E-02  4.98363858E-18  1.32967317E-16 -1.56535598E+01 -1.56535598E+01
 1.60905097E-02 -7.03959801E-02  1.78672100E-18  9.59279309E-17 -1.56535598E+01 -1.56535598E+01
 1.67609476E-02 -7.03959801E-02  4.05569924E-18  2.00024674E-16 -1.56535598E+01 -1.56535598E+01
 1.74313855E-02 -7.03959801E-02  9.05781200E-18  2.13628527E-16 -1.56535598E+01 -1.56535598E+01
 1.81018234E-02 -7.03959801E-02  3.61783428E-18  1.64385553E-16 -1.56535598E+01 -1.56535598E+01
 1.87722614E-02 -7.03959801E-02  4.81089351E-18  1.96100108E-16 -1.56535598E+01 -1.56535598E+01
 1.94426993E-02 -7.03959801E-02  4.97722875E-18  8.99030109E-17 -1.56535598E+01 -1.56535598E+01
 2.01131372E-02 -7.03959801E-02  5.05992320E-18  1.99260597E-16 -1.56535598E+01 -1.56535598E+01
 2.07835751E-02 -7.03959801E-02  1.17869430E-17  2.31973408E-16 -1.56535598E+01 -1.56345618E+01
 2.14540130E-02 -7.03959801E-02  2.52680506E-18  6.76589108E-17 -1.56535598E+01 -1.56535598E+01
 2.21244509E-02 -7.03959801E-02  7.07956489E-18  6.28261314E-17 -1.56535598E+01 -1.56535598E+01
 2.27948888E-02 -7.03959801E-02  6.14798207E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 2.34653267E-02 -7.03959801E-02  1.18524397E-17  3.77452133E-16 -1.56535598E+01 -1.54231381E+01
 2.41357646E-02 -7.03959801E-02  3.92265632E-18  1.53512078E-16 -1.56535598E+01 -1.56535598E+01
 2.48062025E-02 -7.03959801E-02  1.04060202E-17  6.48385388E-17 -1.56535598E+01 -1.56535598E+01
 2.54766404E-02 -7.03959801E-02  1.00597311E-17  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 2.61470783E-02 -7.03959801E-02  1.35978741E-17  1.16087343E-16 -1.56535598E+01 -1.56535598E+01
 2.68175162E-02 -7.03959801E-02  3.23588935E-18  1.27130576E-16 -1.56535598E+01 -1.56535598E+01
 2.74879541E-02 -7.03959801E-02  1.23890775E-17  9.51947131E-17 -1.56535598E+01 -1.56535598E+01
 2.81583920E-02 -7.03959801E-02  7.58041519E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 2.88288299E-02 -7.03959801E-02  2.52680506E-18  1.54724433E-16 -1.56535598E+01 -1.56535598E+01
 2.94992678E-02 -7.03959801E-02  2.02144405E-18  1.09353313E-16 -1.56535598E+01 -1.56535598E+01
 3.01697057E-02 -7.03959801E-02  0.00000000E+00  6.18897731E-17 -1.56535598E+01 -1.56535598E+01
 3.08401437E-02 -7.03959801E-02  3.23588935E-18  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 3.15105816E-02 -7.03959801E-02  1.01072203E-18  1.57343896E-16 -1.56535598E+01 -1.56535598E+01
 3.21810195E-02 -7.03959801E-02  8.33462734E-18  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 3.28514574E-02 -7.03959801E-02  4.04288810E-18  9.51947131E-17 -1.56535598E+01 -1.56535598E+01
 3.35218953E-02 -7.03959801E-02  4.04288810E-18  1.17586596E-16 -1.56535598E+01 -1.56535598E+01
 3.41923332E-02 -7.03959801E-02  2.85875359E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 3.48627711E-02 -7.03959801E-02  7.28842018E-18  1.50980853E-16 -1.56535598E+01 -1.56535598E+01
 3.55332090E-02 -7.03959801E-02  0.00000000E+00  1.19556358E-16 -1.56535598E+01 -1.56535598E+01
 3.62036469E-02 -7.03959801E-02  1.01072203E-17  7.97042388E-17 -1.56535598E+01 -1.56535598E+01
 3.68740848E-02 -7.03959801E-02  1.15350796E-17  1.99026035E-16 -1.56535598E+01 -1.56535598E+01
 3.75445227E-02 -7.03959801E-02  7.93030433E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 3.82149606E-02 -7.03959801E-02  1.01103783E-17  1.05991126E-16 -1.56535598E+01 -1.56535598E+01
 3.88853985E-02 -7.03959801E-02  1.48394681E-17  7.03663294E-17 -1.56535598E+01 -1.56535598E+01
 3.95558364E-02 -7.03959801E-02  7.84531265E-18  3.98521194E-17 -1.56535598E+01 -1.56535598E+01
 4.02262743E-02 -7.03959801E-02  1.34491558E-17  4.12912848E-17 -1.56535598E+01 -1.56535598E+01
 4.08967122E-02 -7.03959801E-02  1.07441225E-17  5.97781791E-17 -1.56535598E+01 -1.56535598E+01
 4.15671501E-02 -7.03959801E-02  7.28842018E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 4.22375880E-02 -7.03959801E-02  4.52008631E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 4.29080259E-02 -7.03959801E-02  2.26004316E-18  1.57343896E-16 -1.56535598E+01 -1.56535598E+01
 4.35784639E-02 -7.03959801E-02  1.42937680E-18  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 4.42489018E-02 -7.03959801E-02  6.14798207E-18  6.11303606E-17 -1.56535598E+01 -1.56535598E+01
 4.49193397E-02 -7.03959801E-02  2.02144405E-18  8.25825696E-17 -1.56535598E+01 -1.56535598E+01
 4.55897776E-02 -7.03959801E-02  3.28484658E-18  3.62458451E-17 -1.56535598E+01 -1.56535598E+01
 4.62602155E-02 -7.03959801E-02  4.76756626E-18  7.97042388E-17 -1.56535598E+01 -1.56535598E+01
 4.69306534E-02 -7.03959801E-02  3.85700053E-18  7.70597236E-17 -1.56535598E+01 -1.56535598E+01
 4.76010913E-02 -7.03959801E-02  6.08535243E-18  5.81943695E-17 -1.56535598E+01 -1.56535598E+01
 4.82715292E-02 -7.03959801E-02  4.05077667E-18  4.17308467E-17 -1.56535598E+01 -1.56535598E+01
 4.89419671E-02 -7.03959801E-02  4.63859749E-18  3.48496674E-17 -1.56535598E+01 -1.56535598E+01
 4.96124050E-02 -7.03959801E-02  1.02608199E-17  4.75973565E-17 -1.56535598E+01 -1.56535598E+01
 5.02828429E-02 -7.03959801E-02  7.35816741E-18  5.46766567E-17 -1.56535598E+01 -1.56535598E+01
 5.09532808E-02 -7.03959801E-02  2.77948557E-18  1.31665523E-16 -1.56535598E+01 -1.56535598E+01
 5.16237187E-02 -7.03959801E-02  4.65919832E-18  3.48496674E-17 -1.56535598E+01 -1.56535598E+01
 5.22941566E-02 -7.03959801E-02  4.52008631E-18  6.11303606E-17 -1.56535598E+01 -1.56535598E+01
 5.29645945E-02 -7.03959801E-02  1.20547405E-17  2.16128463E-17 -1.56535598E+01 -1.56535598E+01
 5.36350324E-02 -7.03959801E-02  4.07435074E-18  6.11303606E-17 -1.56535598E+01 -1.56535598E+01
 5.43054703E-02 -7.03959801E-02  3.39006473E-18  6.76589108E-17 -1.56535598E+01 -1.56535598E+01
 5.49759082E-02 -7.03959801E-02  4.52008631E-18  1.19556358E-16 -1.56535598E+01 -1.56535598E+01
 5.56463462E-02 -7.03959801E-02  6.78012947E-18  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 5.63167841E-02 -7.03959801E-02  6.56969317E-18  3.38294554E-17 -1.56535598E+01 -1.56535598E+01
 5.69872220E-02 -7.03959801E-02  5.05361013E-18  4.92848723E-17 -1.56535598E+01 -1.56535598E+01
 5.76576599E-02 -7.03959801E-02  2.68603063E-18  2.17475070E-17 -1.56535598E+01 -1.56535598E+01
 5.83280978E-02 -7.03959801E-02  3.67908371E-18  1.43444837E-16 -1.56535598E+01 -1.56535598E+01
 5.89985357E-02 -7.03959801E-02  3.64421009E-18  8.10121440E-17 -1.56535598E+01 -1.56535598E+01
 5.96689736E-02 -7.03959801E-02  1.01072203E-18  1.72090380E-16 -1.56535598E+01 -1.56535598E+01
 6.03394115E-02 -7.03959801E-02  5.05361013E-19  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 6.10098494E-02 -7.03959801E-02  8.82575066E-18  4.22004314E-17 -1.56535598E+01 -1.56535598E+01
 6.16802873E-02 -7.03959801E-02  3.19618368E-18  1.19556358E-16 -1.56535598E+01 -1.56535598E+01
 6.23507252E-02 -7.03959801E-02  7.51273156E-18  7.31332220E-17 -1.56535598E+01 -1.56535598E+01
 6.30211631E-02 -7.03959801E-02  1.42937680E-18  4.45560240E-17 -1.56535598E+01 -1.56535598E+01
 6.36916010E-02 -7.03959801E-02  2.40046481E-18  1.35662581E-16 -1.56535598E+01 -1.56535598E+01
 6.43620389E-02 -7.03959801E-02  6.14798207E-18  4.83277934E-17 -1.56535598E+01 -1.56535598E+01
 6.50324768E-02 -7.03959801E-02  4.05077667E-18  3.05651803E-17 -1.56535598E+01 -1.56535598E+01
 6.57029147E-02 -7.03959801E-02  3.19618368E-18  5.63594077E-17 -1.56535598E+01 -1.56535598E+01
 6.63733526E-02 -7.03959801E-02  2.15890319E-18  8.10121440E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-02 -7.03959801E-02  6.15317243E-18  6.26865693E-17 -1.56535598E+01 -1.56535598E+01
 6.77142285E-02 -7.03959801E-02  7.83309570E-18  3.93359739E-17 -1.56535598E+01 -1.56535598E+01
 6.83846664E-02 -7.03959801E-02  6.08535243E-18  3.09448865E-17 -1.56535598E+01 -1.56535598E+01
 6.90551043E-02 -7.03959801E-02  6.87365291E-18  5.20506265E-17 -1.56535598E+01 -1.56535598E+01
 6.97255422E-02 -7.03959801E-02  4.16731367E-18  5.87932982E-17 -1.56535598E+01 -1.56535598E+01
 7.03959801E-02 -7.03959801E-02  5.89347151E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 7.10664180E-02 -7.03959801E-02  3.07399103E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 7.17368559E-02 -7.03959801E-02  3.43682646E-18  1.68801725E-16 -1.56535598E+01 -1.56535598E+01
 7.24072938E-02 -7.03959801E-02  2.03717537E-18  9.96302985E-17 -1.56535598E+01 -1.56535598E+01
 7.30777317E-02 -7.03959801E-02  6.17001095E-18  2.06456424E-17 -1.56535598E+01 -1.56535598E+01
 7.37481696E-02 -7.03959801E-02  3.64421009E-18  3.05651803E-17 -1.56535598E+01 -1.56535598E+01
 7.44186075E-02 -7.03959801E-02  6.67095679E-18  3.74540399E-17 -1.56535598E+01 -1.56535598E+01
 7.50890454E-02 -7.03959801E-02  4.65919832E-18  1.00911395E-16 -1.56535598E+01 -1.56535598E+01
 7.57594833E-02 -7.03959801E-02  2.02144405E-18  6.91948699E-17 -1.56535598E+01 -1.56535598E+01
 7.64299212E-02 -7.03959801E-02  4.31780639E-18  9.74077817E-17 -1.56535598E+01 -1.56535598E+01
 7.71003591E-02 -7.03959801E-02  7.49997288E-18  4.45560240E-17 -1.56535598E+01 -1.56535598E+01
 7.77707970E-02 -7.03959801E-02  3.19618368E-18  2.60253132E-17 -1.56535598E+01 -1.56535598E+01
 7.84412349E-02 -7.03959801E-02  1.82210504E-18  7.74753466E-17 -1.56535598E+01 -1.56535598E+01
 7.91116728E-02 -7.03959801E-02  4.16731367E-18  9.59279309E-17 -1.56535598E+01 -1.56535598E+01
 7.97821107E-02 -7.03959801E-02  5.00281879E-18  3.98521194E-17 -1.56535598E+01 -1.56535598E+01
 8.04525487E-02 -7.03959801E-02  3.55777383E-18  3.35695582E-17 -1.56535598E+01 -1.56535598E+01
 8.11229866E-02 -7.03959801E-02  1.82210504E-18  7.24916901E-17 -1.56535598E+01 -1.56535598E+01
 8.17934245E-02 -7.03959801E-02  2.26004316E-18  3.48496674E-17 -1.56535598E+01 -1.56535598E+01
 8.24638624E-02 -7.03959801E-02  6.08535243E-18  2.60253132E-17 -1.56535598E+01 -1.56535598E+01
 8.31343003E-02 -7.03959801E-02  4.11334063E-18  5.05857197E-17 -1.56535598E+01 -1.56535598E+01
 8.38047382E-02 -7.03959801E-02  1.84653827E-05  1.74819242E-04 -4.73364169E+00 -3.75741077E+00
 8.44751761E-02 -7.03959801E-02  7.18449398E-05  6.78592886E-04 -4.14360381E+00 -3.16839070E+00
 8.51456140E-02 -7.03959801E-02  1.23764923E-04  1.16625722E-03 -3.90740242E+00 -2.93320565E+00
 8.58160519E-02 -7.03959801E-02  9.96581717E-19  5.36067283E-18 -1.56535598E+01 -1.56535598E+01
 0.00000000E+00 -6.97255422E-02  2.20032775E-18  1.13263310E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-04 -6.97255422E-02  3.49870412E-18  1.96615678E-17 -1.56535598E+01 -1.56535598E+01
 1.34087581E-03 -6.97255422E-02  4.64722620E-18  9.10051524E-17 -1.56535598E+01 -1.56535598E+01
 2.01131372E-03 -6.97255422E-02  3.58078342E-18  6.25974108E-17 -1.56535598E+01 -1.56535598E+01
 2.68175162E-03 -6.97255422E-02  3.71562283E-19  2.62128603E-17 -1.56535598E+01 -1.56535598E+01
 3.35218953E-03 -6.97255422E-02  1.37857271E-18  8.70299233E-17 -1.56535598E+01 -1.56535598E+01
 4.02262743E-03 -6.97255422E-02  1.01829648E-18  3.59452193E-17 -1.56535598E+01 -1.56535598E+01
 4.69306534E-03 -6.97255422E-02  5.57128035E-18  2.34217179E-17 -1.56535598E+01 -1.56535598E+01
 5.36350324E-03 -6.97255422E-02  4.16371571E-18  1.09106669E-16 -1.56535598E+01 -1.56535598E+01
 6.03394115E-03 -6.97255422E-02  2.70562046E-18  4.63917432E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-03 -6.97255422E-02  4.14112493E-18  3.90505477E-17 -1.56535598E+01 -1.56535598E+01
 7.37481696E-03 -6.97255422E-02  4.62010844E-18  7.80819281E-17 -1.56535598E+01 -1.56535598E+01
 8.04525487E-03 -6.97255422E-02  3.36763472E-18  5.52385899E-17 -1.56535598E+01 -1.56535598E+01
 8.71569277E-03 -6.97255422E-02  1.27139688E-18  3.69735257E-17 -1.56535598E+01 -1.56535598E+01
 9.38613068E-03 -6.97255422E-02  3.39080034E-18  2.54868980E-17 -1.56535598E+01 -1.56535598E+01
 1.00565686E-02 -6.97255422E-02  5.52535524E-18  1.28628782E-16 -1.56535598E+01 -1.56535598E+01
 1.07270065E-02 -6.97255422E-02  2.85910254E-18  7.15288077E-17 -1.56535598E+01 -1.56535598E+01
 1.13974444E-02 -6.97255422E-02  2.60457104E-18  9.90719765E-17 -1.56535598E+01 -1.56535598E+01
 1.20678823E-02 -6.97255422E-02  6.80363085E-19  6.49285298E-17 -1.56535598E+01 -1.56535598E+01
 1.27383202E-02 -6.97255422E-02  4.68690439E-18  1.22434094E-16 -1.56535598E+01 -1.56535598E+01
 1.34087581E-02 -6.97255422E-02  7.41543028E-18  1.04101253E-16 -1.56535598E+01 -1.56535598E+01
 1.40791960E-02 -6.97255422E-02  2.23518725E-18  8.98055374E-17 -1.56535598E+01 -1.56535598E+01
 1.47496339E-02 -6.97255422E-02  5.11639030E-18  1.80130465E-16 -1.56535598E+01 -1.56535598E+01
 1.54200718E-02 -6.97255422E-02  3.07399103E-18  9.33364722E-17 -1.56535598E+01 -1.56535598E+01
 1.60905097E-02 -6.97255422E-02  1.29089819E-17  8.91120480E-17 -1.56535598E+01 -1.56535598E+01
 1.67609476E-02 -6.97255422E-02  8.41325539E-18  9.33677460E-17 -1.56535598E+01 -1.56535598E+01
 1.74313855E-02 -6.97255422E-02  5.20914209E-18  8.44008627E-17 -1.56535598E+01 -1.56535598E+01
